,dept/pgm,number,course title,area,class size,date,start time,end time
56,CSD,305,Phonetics,"I,III",200,MoWeFr,8:00 PM,9:00 PM
57,CSD,310,Biological Foundations of Speech and Music,I,20,TuTh,8:00 PM,9:00 PM
58,CSD,318,Introduction to Audiology,I,200,MoWe,9:00 PM,9:00 PM
59,EARTH,101,Earth Science for the 21st Century,I,200,MoWeFr,9:00 PM,11:00 PM
60,EARTH,105,Climate Catastrophes in Earth History,I,200,MoWe,10:00 PM,11:00 PM
61,EARTH,106,"The Ocean, The Atmosphere, & Our Climate",I,100,TuTh,8:00 PM,11:00 PM
62,EARTH,114,Evolution & the Scientific Method,I,50,MoWe,10:00 PM,9:00 PM
63,EARTH,180,Fantasy Worlds - How to Build Your Own Planet,I,50,MoWeFr,8:00 PM,9:00 PM
64,EARTH,201,Earth Systems Revealed,I,200,MoWeFr,8:00 PM,9:00 PM
65,EARTH,202,Earth's Interior,I,20,MoWeFr,10:00 PM,9:00 PM
66,EARTH,203,Earth System History,I,50,MoWeFr,9:00 PM,11:00 PM
67,EARTH,300,Earth and Planetary Materials,I,200,MoWeFr,10:00 PM,10:00 PM
68,EARTH,301,Petrology: Evolution of Crustal and Mantle Rocks,I,200,MoWe,10:00 PM,10:00 PM
69,EARTH,310,Aqueous Geochemistry,I,200,MoWe,10:00 PM,10:00 PM
70,EARTH,314,Organic Geochemistry,I,20,TuTh,10:00 PM,10:00 PM
71,EARTH,323,Seismology & Earth Strucutre,I,100,TuTh,10:00 PM,10:00 PM
72,EARTH,324,Earthquakes and Tectonics,I,20,TuTh,10:00 PM,9:00 PM
73,EARTH,340,Physics of Weather and Climate,I,50,TuTh,10:00 PM,11:00 PM
74,EARTH,341,Quaternary Climate Change: Ice Ages to the Age of Oil,I,50,MoWe,9:00 PM,9:00 PM
75,EARTH,342,Contemporary Energy and Climate Change,I,50,MoWe,10:00 PM,9:00 PM
76,EARTH,343,Earth System Modeling,I,200,TuTh,9:00 PM,10:00 PM
77,EARTH,370,Geobiology,I,20,MoWeFr,9:00 PM,10:00 PM
78,EARTH,371,Biogeochemistry,I,50,TuTh,10:00 PM,9:00 PM
79,ENVR SCI,201,Earth: A Habitable Planet,I,20,TuTh,10:00 PM,10:00 PM
80,ENVR SCI,202,The Health of the Biosphere,I,50,MoWeFr,8:00 PM,10:00 PM
81,ENVR SCI,203,Humans and the Environment,I,200,MoWe,8:00 PM,9:00 PM
82,GEN LA,280-1,Residence-Linked Seminar - I,I,100,MoWe,10:00 PM,10:00 PM
83,GEOG,211,World Biogeography,I,200,MoWe,9:00 PM,10:00 PM
84,GEOG,235,Atmosphere and Climate,I,20,MoWeFr,8:00 PM,10:00 PM
85,GEOG,341,Principles of Cartography,I,100,TuTh,8:00 PM,11:00 PM
86,GEOG,343,Geographic Information Systems,I,100,MoWe,9:00 PM,11:00 PM
87,GBL HLTH,308,Global Health in Human History,"I,IV",100,MoWe,8:00 PM,11:00 PM
88,ISEN,220,Introduction to Energy Systems for the Twenty-First Century,I,100,MoWeFr,9:00 PM,11:00 PM
89,LING,250,Sound Patterns in Human Language,I,50,MoWe,10:00 PM,9:00 PM
90,LING,350,Fundamentals of Laboratory Phonology,I,100,TuTh,10:00 PM,11:00 PM
91,MATH,327,Mechanics for Mathematicians,"I,II",200,TuTh,9:00 PM,9:00 PM
92,NEUROSCI,202,Cellular and Molecular Neuroscience,I,100,MoWeFr,9:00 PM,10:00 PM
93,NEUROSCI,206,Systems and Behavioral Neuroscience,I,200,MoWeFr,8:00 PM,10:00 PM
94,NEUROSCI,320,Animal Behavior,I,50,MoWe,10:00 PM,11:00 PM
95,NEUROSCI,360,Neuroscience of Brain Disorders,I,20,TuTh,10:00 PM,10:00 PM
96,NEUROSCI,377,Neurobiology of Sensation and Perception,I,50,MoWeFr,8:00 PM,11:00 PM
97,PHYSICS,103,Ideas of Physics,I,50,MoWe,10:00 PM,11:00 PM
98,PHYSICS,105,"Music, Sound, Timbre",I,100,MoWe,8:00 PM,9:00 PM
99,PHYSICS,106,A Brief Journey through the Invisible Universe (taught also as ASTRON 106),I,100,MoWeFr,8:00 PM,10:00 PM
100,PHYSICS,125-1,General Physics for ISP,I,50,TuTh,8:00 PM,10:00 PM
101,PHYSICS,125-2,General Physics for ISP,I,100,MoWeFr,8:00 PM,9:00 PM
102,PHYSICS,125-3,General Physics for ISP,I,50,TuTh,8:00 PM,9:00 PM
103,PHYSICS,130-1,College Physics,I,20,MoWe,8:00 PM,9:00 PM
104,PHYSICS,130-2,College Physics,I,200,MoWe,10:00 PM,9:00 PM
105,PHYSICS,130-3,College Physics,I,200,MoWe,9:00 PM,10:00 PM
106,PHYSICS,135-1,General Physics,I,50,TuTh,9:00 PM,9:00 PM
107,PHYSICS,135-2,General Physics,I,50,MoWe,8:00 PM,9:00 PM
108,PHYSICS,135-3,General Physics,I,50,MoWeFr,9:00 PM,9:00 PM
109,PHYSICS,140-1,Fundamentals of Physics,I,50,TuTh,8:00 PM,10:00 PM
110,PHYSICS,140-2,Fundamentals of Physics,I,200,MoWe,8:00 PM,10:00 PM
111,PHYSICS,140-3,Fundamentals of Physics,I,200,TuTh,9:00 PM,9:00 PM
112,PHYSICS,239,Foundations of Modern Physics,I,20,MoWe,9:00 PM,11:00 PM
113,PHYSICS,312,Scalar and Vector Field Methods in Physics,I,50,MoWeFr,9:00 PM,10:00 PM
114,PHYSICS,335,Physics of Magic,I,200,TuTh,10:00 PM,9:00 PM
115,PHYSICS,357,Optics Laboratory,I,20,MoWeFr,9:00 PM,10:00 PM
116,PSYCH,221,Introduction to Neuroscience,I,100,TuTh,9:00 PM,11:00 PM
117,PSYCH,320-0,Intermediate Neuroscience,I,20,MoWe,10:00 PM,9:00 PM
118,PSYCH,324,Perception,"I,III",200,TuTh,8:00 PM,10:00 PM
119,PSYCH,325-0,Selected Topics in Neuroscience and Psychophysiology,I,200,MoWeFr,10:00 PM,11:00 PM
120,PSYCH,327,Brain and Cognition; with CSD 303,"I,III",200,TuTh,10:00 PM,11:00 PM
121,PSYCH,328,Brain Damage & the Mind,"I,III",100,MoWe,8:00 PM,9:00 PM
122,PSYCH,336,Consciousness,"I,III",100,MoWe,10:00 PM,9:00 PM
123,PSYCH,374,Human Memory,"I,III",50,MoWeFr,10:00 PM,9:00 PM
124,PSYCH,378,Images of Cognition,"I,III",100,MoWeFr,8:00 PM,9:00 PM
125,PSYCH,379,Neuroscience & Behavior Laboratory,I,50,TuTh,8:00 PM,11:00 PM
126,AF AM ST,215,Introduction to Black Social & Political Life,"III,IV,V",50,TuTh,10:00 PM,9:00 PM
127,AF AM ST,218,Asian-Black Historical Relations in the U.S.; with ASIAN AM 218,"III,IV",20,MoWe,9:00 PM,10:00 PM
128,AF AM ST,236,Introduction to African American Studies,III,200,TuTh,8:00 PM,10:00 PM
129,AF AM ST,250,"Race, Class, & Gender",III,20,MoWe,10:00 PM,10:00 PM
130,AF AM ST,251,The Mixed-Race Experience; with ASIAN AM 251,III,20,TuTh,10:00 PM,11:00 PM
131,AF AM ST,319,"Race, Ethnicity, & the American Constitution","III,V",50,MoWeFr,10:00 PM,9:00 PM
132,AF AM ST,320,The Social Meaning of Race,III,100,MoWeFr,10:00 PM,9:00 PM
133,AF AM ST,325,Education for Black Liberation,III,100,MoWeFr,10:00 PM,11:00 PM
134,AF AM ST,327,Politics of Black Popular Culture,"III,VI",50,TuTh,10:00 PM,11:00 PM
135,AF AM ST,330,Black Women in 20th Century US,"III,IV",20,TuTh,9:00 PM,11:00 PM
136,AF AM ST,334,Gender & Black Masculinity,III,100,TuTh,9:00 PM,9:00 PM
137,AF AM ST,339,Unsettling Whiteness,"III,IV",50,MoWe,8:00 PM,10:00 PM
138,AF AM ST,342,Comparative Slavery,"III,IV,V",50,MoWe,10:00 PM,11:00 PM
139,AF AM ST,355,Diaspora Studies,III,50,TuTh,9:00 PM,10:00 PM
140,AF ST,360-SA,"Culture, Language, and Identity in South Africa",III,20,TuTh,10:00 PM,9:00 PM
141,ANTHRO,211,Culture & Society,III,20,TuTh,10:00 PM,10:00 PM
142,ANTHRO,215,The Study of Culture Through Language,III,200,MoWeFr,9:00 PM,11:00 PM
143,ANTHRO,221,Social and Health Inequalities; with SOCIOL 221,III,200,MoWeFr,8:00 PM,11:00 PM
144,ANTHRO,235,Language in Asian America; with ASIAN AM 235,III,50,TuTh,9:00 PM,9:00 PM
145,ANTHRO,240,Anthropology of Money,III,20,MoWe,9:00 PM,9:00 PM
146,ANTHRO,242,"Porous Borders? Geography, Power and Techniques of Movement",III,20,MoWe,9:00 PM,10:00 PM
147,ANTHRO,307,Anthropology of Peace,III,100,MoWe,10:00 PM,11:00 PM
148,ANTHRO,313,Evolutionary Medicine,III,20,TuTh,10:00 PM,9:00 PM
149,ANTHRO,320,Peoples of Africa,III,50,MoWeFr,10:00 PM,10:00 PM
150,ANTHRO,326,Archaeologies of Sustainability and Collapse (with ENVR POL 385),III,50,MoWe,8:00 PM,11:00 PM
151,ANTHRO,330,Peoples of the World,III,100,MoWeFr,8:00 PM,11:00 PM
152,ANTHRO,332,The Anthropology of Reproduction,III,200,MoWeFr,9:00 PM,10:00 PM
153,ANTHRO,334,The Anthropology of HIV/AIDS,III,20,MoWe,8:00 PM,11:00 PM
154,ANTHRO,339,Material Culture,III,200,MoWe,8:00 PM,10:00 PM
155,ANTHRO,341,Economic Anthropology,III,100,MoWeFr,8:00 PM,9:00 PM
156,ANTHRO,343,Anthropology of Race,III,100,MoWe,10:00 PM,9:00 PM
157,ANTHRO,353,Shady Business: Informal Economies in Contemporary Capitalism,III,20,MoWe,8:00 PM,11:00 PM
158,ANTHRO,354,Gender & Anthropology,III,100,TuTh,10:00 PM,11:00 PM
159,ANTHRO,355,Sexualities,III,200,MoWeFr,9:00 PM,10:00 PM
160,ANTHRO,358,Primate Behavior and Ecology,III,100,TuTh,9:00 PM,9:00 PM
161,ANTHRO,360,Language & Culture,III,50,TuTh,9:00 PM,11:00 PM
162,ANTHRO,361,Talk as Social Action,III,20,MoWeFr,9:00 PM,10:00 PM
163,ANTHRO,365,"Language, Race, and Ethnicity in the U.S.; with ASIAN AM 365",III,100,MoWe,9:00 PM,11:00 PM
164,ANTHRO,369,Contemporary Immigration to the US,III,50,MoWeFr,10:00 PM,10:00 PM
165,ANTHRO,373,Power & Culture in American Cities,III,50,MoWe,8:00 PM,11:00 PM
166,ANTHRO,376,Socialization,III,20,TuTh,10:00 PM,11:00 PM
167,ANTHRO,377,Psychological Anthropology,III,100,MoWe,10:00 PM,10:00 PM
168,ANTHRO,378,Law & Culture,III,100,MoWeFr,8:00 PM,11:00 PM
169,ANTHRO,382,Political Ecology (with ENVR POL 384),III,100,MoWeFr,9:00 PM,11:00 PM
170,ANTHRO,384,"Traveling While Muslim: Islam, Mobility, and Security after 9/11",III,100,MoWeFr,9:00 PM,11:00 PM
171,ASIAN AM,203,Topics in Asian American Social and Cultural Analysis,III,100,TuTh,9:00 PM,11:00 PM
172,ASIAN AM,210,Introduction to Asian American Studies,III,100,MoWeFr,10:00 PM,10:00 PM
173,ASIAN AM,218,Asian-Black Historical Relations in the U.S.; with AF AM ST 218,"III,IV",20,MoWe,10:00 PM,9:00 PM
174,ASIAN AM,225,Contemporary Issues in Asian American Communities,III,200,TuTh,9:00 PM,9:00 PM
175,ASIAN AM,235,Language in Asian America; with ANTHRO 235,III,20,MoWe,9:00 PM,10:00 PM
176,ASIAN AM,251,The Mixed-Race Experience; with AF AM ST 251,III,100,MoWeFr,10:00 PM,10:00 PM
177,ASIAN AM,303,Advanced Topics in Social and Cultural Analysis,III,50,MoWe,10:00 PM,10:00 PM
178,ASIAN AM,350,Asian American Religions,"III,V",20,MoWe,10:00 PM,10:00 PM
179,ASIAN AM,360,"Studies in Race, Gender, and Sexuality",III,200,TuTh,8:00 PM,11:00 PM
180,ASIAN AM,365,"Language, Race, and Ethnicity in the U.S.; with ANTHRO 365",III,20,MoWeFr,10:00 PM,11:00 PM
181,ASIAN AM,370,Studies in Diaspora,III,200,MoWe,8:00 PM,10:00 PM
182,BUS INST,303,Leadership in Organizations,III,200,MoWe,8:00 PM,10:00 PM
183,CFS,387,"Field Studies in Environment, Science, and Sustainability (variable-credit course; 1 unit can count toward distribution requirements)",III,50,MoWeFr,8:00 PM,10:00 PM
184,CFS,391,Field Studies in Social Justice (variable-credit course; 1 unit can count toward distribution requirements),III,20,MoWeFr,8:00 PM,9:00 PM
185,CFS,392,Field Studies in Public Health (variable-credit course; 1 unit can count toward distribution requirements),III,50,MoWe,10:00 PM,10:00 PM
186,CFS,393,Field Studies in the Modern Workplace (4-unit course; 1 unit can count toward distribution requirements),"III,IV",20,MoWe,9:00 PM,10:00 PM
187,CFS,394,Legal Field Studies (4-unit course; 1 unit can count toward distribution requirements),III,100,MoWe,10:00 PM,9:00 PM
188,CFS,395,Business Field Studies (4-unit course; 1 unit can count toward distribution requirements),III,50,TuTh,10:00 PM,9:00 PM
189,CFS,397,Field Studies in Civic Engagement (variable-credit course; 1 unit can count toward distribution requirements),III,200,MoWe,10:00 PM,9:00 PM
190,CLASSICS,360,Origins of Greek Democracy,"III,IV",50,MoWeFr,10:00 PM,11:00 PM
191,COG SCI,110,Introduction to Cognitive Science,III,100,MoWe,10:00 PM,10:00 PM
192,COG SCI,202,Evaluating Evidence; with POLI SCI 212,III,20,TuTh,10:00 PM,9:00 PM
193,COG SCI,211,"Learning, Representation, & Reasoning",III,200,TuTh,10:00 PM,10:00 PM
194,COG SCI,245,Presenting Ideas and Data (with PSYCH 245); starting Fall 2022 this will be COG SCI 345,III,50,MoWe,9:00 PM,11:00 PM
195,COG SCI,345,Presenting Ideas and Data (with PSYCH 345); prior to Fall 2022 this was COG SCI 245,III,50,MoWeFr,8:00 PM,9:00 PM
196,COMP_SCI,101,"Computer Science: Concepts, Philosophy, and Connections",III,50,MoWe,10:00 PM,11:00 PM
197,CSD,303,Brain and Cognition ; with PSYCH 327,"I,III",100,MoWeFr,9:00 PM,11:00 PM
198,CSD,305,Phonetics,"I,III",200,MoWe,8:00 PM,11:00 PM
199,CSD,306,Psychoacoustics,III,100,MoWeFr,10:00 PM,9:00 PM
200,CSD,309,"Culture, Language, and Learning",III,100,MoWeFr,10:00 PM,11:00 PM
201,CSD,334,Delivery Systems in Speech and Language Pathology,III,20,MoWe,8:00 PM,10:00 PM
202,CSD,342,Language and Cognition in Atypical Development,III,50,MoWeFr,10:00 PM,9:00 PM
203,CSD,373,Introduction to Learning Disabilities,III,20,MoWe,8:00 PM,11:00 PM
204,CSD,376,Diagnostic & Remedial Approaches for Children with Learning Problems,III,200,MoWeFr,8:00 PM,9:00 PM
205,CSD,392,Language Development and Usage,III,50,MoWe,9:00 PM,9:00 PM
206,ECON,201,Introduction to Macroeconomics,III,200,TuTh,9:00 PM,9:00 PM
207,ECON,202,Introduction to Microeconomics,III,100,TuTh,9:00 PM,11:00 PM
208,ECON,310-1,"Microeconomics, I",III,200,TuTh,8:00 PM,10:00 PM
209,ECON,311,Macroeconomics,III,100,MoWe,8:00 PM,9:00 PM
210,ENVR POL,211,Food and Society: An Introduction; with SOCIOL 211,III,50,TuTh,10:00 PM,11:00 PM
211,ENVR POL,212,Environment and Society; with SOCIOL 212,III,20,TuTh,8:00 PM,10:00 PM
212,ENVR POL,311,"Food, Politics, and Society; with SOCIOL 311",III,200,TuTh,8:00 PM,10:00 PM
213,ENVR POL,312,Social Change and the Environment; with SOCIOL 312,III,100,TuTh,10:00 PM,11:00 PM
214,ENVR POL,329,U.S. Environmental Politics (taught with POLI SCI 329),III,20,MoWeFr,8:00 PM,10:00 PM
215,ENVR POL,336,"The Climate Crisis, Policies, and Society; with SOCIOL 336",III,100,TuTh,8:00 PM,9:00 PM
216,ENVR POL,356,Native Americans and Environmental Decision Making; with PSYCH 356,III,50,TuTh,10:00 PM,11:00 PM
217,ENVR POL,360,Animal Law (with LEGAL ST 360),III,100,MoWeFr,10:00 PM,9:00 PM
218,ENVR POL,384,Political Ecology (with ANTHRO 382),III,200,MoWe,9:00 PM,9:00 PM
219,ENVR POL,385,Archaeologies of Sustainability and Collapse (with ANTHRO 326),III,50,MoWe,9:00 PM,9:00 PM
220,GBL HLTH,305,Global Health and Indigenous Medicine,III,50,TuTh,8:00 PM,11:00 PM
221,GBL HLTH,306,Biomedicine and Culture,III,20,MoWe,8:00 PM,10:00 PM
222,GBL HLTH,307,International Perspectives on Mental Health,III,200,TuTh,8:00 PM,9:00 PM
223,GBL HLTH,315-SA,Public Health in South Africa,III,20,MoWeFr,8:00 PM,11:00 PM
224,GBL HLTH,316-SA,"Development Perspectives on Health in South Africa through Community
Engagement",III,200,MoWeFr,10:00 PM,11:00 PM
225,GBL HLTH,320,Qualitative Research Methods in Global Health,III,100,MoWeFr,10:00 PM,10:00 PM
226,GBL HLTH,321,War and Public Health,"III,V",20,MoWe,8:00 PM,11:00 PM
227,GBL HLTH,322,Social Determinants of Health,III,20,MoWeFr,9:00 PM,9:00 PM
228,GBL HLTH,323,Global Health from Policy to Practice,III,200,TuTh,9:00 PM,9:00 PM
229,GBL HLTH,332-SA,Public Health in China,III,100,MoWe,8:00 PM,11:00 PM
230,GBL HLTH,333-SA,Traditional Chinese Medicine,III,100,MoWe,10:00 PM,11:00 PM
231,GEN LA,280-3,Residence-Linked Seminar - III,III,200,MoWeFr,8:00 PM,10:00 PM
232,GEOG,240,Economic Geography,III,100,MoWe,10:00 PM,9:00 PM
233,GEOG,312,Geography of Chicago and Its Region,III,50,TuTh,8:00 PM,9:00 PM
234,GEOG,313,North America,III,50,MoWeFr,8:00 PM,10:00 PM
235,GEOG,328,The Human Use of The Earth,III,200,MoWeFr,10:00 PM,11:00 PM
236,GERMAN,213,"Politics, History, and Culture in 21st Century Germany",III,50,MoWeFr,9:00 PM,10:00 PM
237,GNDR ST,220,Sexual Subjects: Introduction to Sexuality Studies,"III,IV",200,MoWe,9:00 PM,9:00 PM
238,GNDR ST,232,Sexuality and Society; with SOCIOL 232,III,200,TuTh,9:00 PM,9:00 PM
239,GNDR ST,234,Language and Gender; with LING 223,III,50,TuTh,8:00 PM,11:00 PM
240,GNDR ST,235,Beyond the Binary: Transgender and Race,III,100,MoWe,8:00 PM,10:00 PM
241,GNDR ST,250,Gender Issues in Science and Health,III,50,TuTh,8:00 PM,9:00 PM
242,GNDR ST,331,Sociology of Gender and Sexuality,III,50,TuTh,10:00 PM,10:00 PM
243,GNDR ST,332,"Gender, Sexuality, and Health",III,50,MoWe,8:00 PM,11:00 PM
244,GNDR ST,340,"Gender, Sexuality, and the Law (with LEGAL ST 340)","III,IV",100,MoWe,10:00 PM,11:00 PM
245,GNDR ST,341,Transnational Perspectives on Gender and Sexuality,III,100,MoWeFr,9:00 PM,10:00 PM
246,GNDR ST,350-3,Research Seminar in Gender and Sexuality Studies,III,20,TuTh,8:00 PM,9:00 PM
247,GNDR ST,351,"Gender, Sexuality, and Public Policy",III,200,MoWeFr,9:00 PM,10:00 PM
248,GNDR ST,352,"Gender, Sexuality, and Political Theory",III,200,TuTh,10:00 PM,9:00 PM
249,GNDR ST,353,Gender and Citizenship,III,100,MoWeFr,9:00 PM,10:00 PM
250,GNDR ST,371,"Gender, Sexuality, and Popular Culture",III,20,MoWeFr,8:00 PM,9:00 PM
251,HUM,220,"Health, Biomedicine, Culture, and Society ; with SOCIOL 220","III,V",50,MoWeFr,10:00 PM,11:00 PM
252,HUM,310-3,Global Humanities Lab,III,100,MoWeFr,10:00 PM,11:00 PM
253,HUM,325-3,Humanites in the Digital Age,III,100,MoWe,8:00 PM,9:00 PM
254,HUM,370-3,Special Topics in the Humanities,III,200,TuTh,10:00 PM,9:00 PM
255,INTL ST,290,Introductory Topics in International Studies,III,100,MoWeFr,8:00 PM,9:00 PM
256,INTL ST,393-0,"Development in the Global Context: Participation, Power, and Social Change (variable credit course; 1 unit can count toward distribution requirements)",III,100,TuTh,8:00 PM,10:00 PM
257,INTL ST,393-SA,"Development in the Global Context: Participation, Power, and Social Change (variable credit course; 1 unit can count toward distribution requirements)",III,20,MoWe,10:00 PM,10:00 PM
258,IEMS,365,Analytics for Social Good,III,200,MoWeFr,8:00 PM,9:00 PM
259,ISEN,210,Introduction to Sustainability: Challenges and Solutions,III,50,MoWe,8:00 PM,9:00 PM
260,LATINO,201,Introduction to Latina and Latino Studies,"III,IV",200,TuTh,8:00 PM,11:00 PM
261,LATINO,222,Latina and Latino Youth in U.S. Cities,III,50,TuTh,8:00 PM,11:00 PM
262,LATINO,342,Latina and Latino Social Movements,"III,V",50,TuTh,8:00 PM,10:00 PM
263,LATINO,392,Topics in Latina and Latino Social and Political Issues,"III,V",50,TuTh,8:00 PM,10:00 PM
264,LEGAL ST,206,Law and Society; with SOCIOL 206,III,100,MoWe,9:00 PM,10:00 PM
265,LEGAL ST,207,Legal Studies Research Methods; with SOCIOL 227,III,50,MoWe,10:00 PM,9:00 PM
266,LEGAL ST,308,Sociology of Law; with SOCIOL 318,III,50,MoWeFr,10:00 PM,9:00 PM
267,LEGAL ST,315,Corporation in US Law and Culture,III,100,MoWe,9:00 PM,9:00 PM
268,LEGAL ST,330,U.S. Refugee Policy & Localities (with POLI SCI 330),III,100,MoWe,10:00 PM,11:00 PM
269,LEGAL ST,332,Constitutional Law I; with POLI SCI 332,III,20,MoWe,8:00 PM,9:00 PM
270,LEGAL ST,333,Constitutional Law II; with POLI SCI 333,III,50,MoWe,9:00 PM,11:00 PM
271,LEGAL ST,340,Gender and the Law (with GNDR ST 340),"III,IV",200,MoWe,10:00 PM,9:00 PM
272,LEGAL ST,342,International Organizations; with POLI SCI 342,III,50,MoWeFr,8:00 PM,10:00 PM
273,LEGAL ST,348,"Race, Politics, and the Law; with SOCIOL 348",III,100,TuTh,10:00 PM,9:00 PM
274,LEGAL ST,350,Psychology and the Law; with PSYCH 340,III,200,TuTh,10:00 PM,10:00 PM
275,LEGAL ST,356,Constitutional Challenges in Comparative Perspective (with POLI SCI 356),III,20,TuTh,8:00 PM,9:00 PM
276,LEGAL ST,360,Animal Law (with ENVR POL 360),III,200,TuTh,9:00 PM,10:00 PM
277,LEGAL ST,380,Refugee Crises and Human Rights (with POLI SCI 380),III,100,MoWe,8:00 PM,10:00 PM
278,LEGAL ST,381,Children and the Law; with PSYCH 381,III,100,TuTh,8:00 PM,9:00 PM
